time,Reaction_Force_Along_X,,,0,0,0
0.104,-0.020434429,,,0.105,-0.020374009,9936000000
0.105,-0.020374009,,,0.106,-0.020363809,9935000000
0.106,-0.020363809,,,0.107,-0.020466426,9934000000
0.107,-0.020466426,,,0.108,-0.020526361,9933000000
0.108,-0.020526361,,,0.109,-0.020543873,9932000000
0.109,-0.020543873,,,0.11,-0.02057973,9931000000
0.11,-0.02057973,,,0.111,-0.020223279,9930000000
0.111,-0.020223279,,,0.112,-0.020401695,9929000000
0.112,-0.020401695,,,0.113,-0.020460398,9928000000
0.113,-0.020460398,,,0.114,-0.020363471,9927000000
0.114,-0.020363471,,,0.115,-0.020564057,9926000000
0.115,-0.020564057,,,0.116,-0.020490027,9925000000
0.116,-0.020490027,,,0.117,-0.020378337,9924000000
0.117,-0.020378337,,,0.118,-0.020411262,9923000000
0.118,-0.020411262,,,0.119,-0.020636273,9922000000
0.119,-0.020636273,,,0.12,-0.020642223,9921000000
0.12,-0.020642223,,,0.121,-0.020579565,9920000000
0.121,-0.020579565,,,0.122,-0.020577319,9919000000
0.122,-0.020577319,,,0.123,-0.020444812,9918000000
0.123,-0.020444812,,,0.124,-0.02047641,9917000000
0.124,-0.02047641,,,0.125,-0.020349948,9916000000
0.125,-0.020349948,,,0.126,-0.020283552,9915000000
0.126,-0.020283552,,,0.127,-0.020561888,9914000000
0.127,-0.020561888,,,0.128,-0.020382197,9913000000
0.128,-0.020382197,,,0.129,-0.020388321,9912000000
0.129,-0.020388321,,,0.13,-0.020430839,9911000000
0.13,-0.020430839,,,0.131,-0.020522371,9910000000
0.131,-0.020522371,,,0.132,-0.02054546,9909000000
0.132,-0.02054546,,,0.133,-0.02050204,9908000000
0.133,-0.02050204,,,0.134,-0.02039127,9907000000
0.134,-0.02039127,,,0.135,-0.02048177,9906000000
0.135,-0.02048177,,,0.136,-0.020294038,9905000000
0.136,-0.020294038,,,0.137,-0.020370618,9904000000
0.137,-0.020370618,,,0.138,-0.020390775,9903000000
0.138,-0.020390775,,,0.139,-0.020574673,9902000000
0.139,-0.020574673,,,0.14,-0.020517367,9901000000
0.14,-0.020517367,,,0.141,-0.020514843,9900000000
0.141,-0.020514843,,,0.142,-0.020575992,9899000000
0.142,-0.020575992,,,0.143,-0.020454405,9898000000
0.143,-0.020454405,,,0.144,-0.020416163,9897000000
0.144,-0.020416163,,,0.145,-0.020331309,9896000000
0.145,-0.020331309,,,0.146,-0.020449114,9895000000
0.146,-0.020449114,,,0.147,-0.020369724,9894000000
0.147,-0.020369724,,,0.148,-0.020417351,9893000000
0.148,-0.020417351,,,0.149,-0.020294056,9892000000
0.149,-0.020294056,,,0.15,-0.020504478,9891000000
0.15,-0.020504478,,,0.151,-0.020429581,9890000000
0.151,-0.020429581,,,0.152,-0.020401929,9889000000
0.152,-0.020401929,,,0.153,-0.02055632,9888000000
0.153,-0.02055632,,,0.154,-0.020393542,9887000000
0.154,-0.020393542,,,0.155,-0.020439478,9886000000
0.155,-0.020439478,,,0.156,-0.020476505,9885000000
0.156,-0.020476505,,,0.157,-0.020363445,9884000000
0.157,-0.020363445,,,0.158,-0.020369395,9883000000
0.158,-0.020369395,,,0.159,-0.02046647,9882000000
0.159,-0.02046647,,,0.16,-0.020357972,9881000000
0.16,-0.020357972,,,0.161,-0.020582462,9880000000
0.161,-0.020582462,,,0.162,-0.020525624,9879000000
0.162,-0.020525624,,,0.163,-0.020517488,9878000000
0.163,-0.020517488,,,0.164,-0.020600243,9877000000
0.164,-0.020600243,,,0.165,-0.020471622,9876000000
0.165,-0.020471622,,,0.166,-0.020576625,9875000000
0.166,-0.020576625,,,0.167,-0.020591509,9874000000
0.167,-0.020591509,,,0.168,-0.020454292,9873000000
0.168,-0.020454292,,,0.169,-0.020250436,9872000000
0.169,-0.020250436,,,0.17,-0.020420508,9871000000
0.17,-0.020420508,,,0.171,-0.020389717,9870000000
0.171,-0.020389717,,,0.172,-0.020598751,9869000000
0.172,-0.020598751,,,0.173,-0.020441611,9868000000
0.173,-0.020441611,,,0.174,-0.020390246,9867000000
0.174,-0.020390246,,,0.175,-0.02056292,9866000000
0.175,-0.02056292,,,0.176,-0.020426389,9865000000
0.176,-0.020426389,,,0.177,-0.02038394,9864000000
0.177,-0.02038394,,,0.178,-0.020330893,9863000000
0.178,-0.020330893,,,0.179,-0.020727034,9862000000
0.179,-0.020727034,,,0.18,-0.020253637,9861000000
0.18,-0.020253637,,,0.181,-0.020489889,9860000000
0.181,-0.020489889,,,0.182,-0.020369958,9859000000
0.182,-0.020369958,,,0.183,-0.020296233,9858000000
0.183,-0.020296233,,,0.184,-0.020467988,9857000000
0.184,-0.020467988,,,0.185,-0.020379898,9856000000
0.185,-0.020379898,,,0.186,-0.020413275,9855000000
0.186,-0.020413275,,,0.187,-0.02045254,9854000000
0.187,-0.02045254,,,0.188,-0.020420049,9853000000
0.188,-0.020420049,,,0.189,-0.02062884,9852000000
0.189,-0.02062884,,,0.19,-0.020440883,9851000000
0.19,-0.020440883,,,0.191,-0.020487928,9850000000
0.191,-0.020487928,,,0.192,-0.020507349,9849000000
0.192,-0.020507349,,,0.193,-0.02039761,9848000000
0.193,-0.02039761,,,0.194,-0.020632752,9847000000
0.194,-0.020632752,,,0.195,-0.020457831,9846000000
0.195,-0.020457831,,,0.196,-0.020403317,9845000000
0.196,-0.020403317,,,0.197,-0.020304403,9844000000
0.197,-0.020304403,,,0.198,-0.020504694,9843000000
0.198,-0.020504694,,,0.199,-0.020467675,9842000000
0.199,-0.020467675,,,0.2,-0.020605395,9841000000
0.2,-0.020605395,,,,,
