time,Reaction_Force_Along_X,Reaction_Force_Along_Y
0,0,0
0.005,0.00014475646576575,0.00014475611856566
0.01,0.00028951441258356,0.00028951372254276
0.015,0.00043427381262138,0.00043427277437552
0.02,0.00057903465799175,0.00057903327611239
0.025,0.00072379695183646,0.00072379522360907
0.03,0.0008685606977209,0.00086855861880152
0.035,0.0010133258863037,0.0010133234638058
0.04,0.001158092525205,0.0011580897581449
0.045,0.0013028606128625,0.001302857498525
0.05,0.0014476301504595,0.0014476266910466
0.055,0.0015924011335061,0.0015923973294046
0.06,0.0017371735648943,0.001737169414031
0.065,0.0018819474472416,0.0018819429474437
0.07,0.0020267227749899,0.0020267179319784
0.075,0.0021714995525301,0.0021714943625017
0.08,0.0023162777749089,0.0023162722410371
0.085,0.0024610574458255,0.0024610515668875
0.09,0.0026058385678015,0.0026058323418553
0.095,0.0027506211360881,0.0027506145652839
0.1,0.0028954051504818,0.0028953982358476
0.105,0.0030401906134694,0.0030401833527971
0.11,0.0031849775262396,0.0031849699182908
0.115,0.0033297658876711,0.0033297579343106
0.12,0.0034745556935508,0.0034745473960409
0.125,0.0036193469498519,0.0036193383054002
0.13,0.0037641396515855,0.0037641306635047
0.135,0.0039089338016618,0.0039089244687819
0.14,0.0040537294004052,0.0040537197218332
0.145,0.0041985264469384,0.0041985164229657
0.15,0.0043433249403706,0.0043433145716402
0.155,0.004488124881052,0.0044881141676417
0.16,0.0046329262706631,0.0046329152122274
0.165,0.0047777291083919,0.0047777177057307
0.17,0.004922533392719,0.0049225216431939
0.175,0.0050673391232093,0.0050673270293542
0.18,0.0052121463032203,0.0052121338650057
0.185,0.0053569549302008,0.005356942146405
0.19,0.005501765004591,0.0055017518753834
0.195,0.0056465765254029,0.0056465630519266
0.2,0.005791389494971,0.0057913756758794
0.205,0.0059362039111971,0.0059361897478646
0.21,0.0060810197743493,0.0060810052656539
0.215,0.0062258370850772,0.006225822232313
0.22,0.0063706558441919,0.0063706406464466
0.225,0.006515476049108,0.0065154605075864
0.23,0.0066602977023469,0.0066602818152383
0.235,0.0068051208029423,0.0068051045707144
0.24,0.0069499453506302,0.0069499287742579
0.245,0.0070947713445598,0.0070947544236371
0.25,0.007239598786127,0.0072395815215951
0.255,0.0073844276746632,0.0073844100661384
0.26,0.0075292580105984,0.00752924005738
0.265,0.0076740897942367,0.0076740714952549
0.27,0.0078189230234432,0.0078189043814898
0.275,0.0079637577012104,0.0079637387142289
0.28,0.0081085938252755,0.0081085744940497
0.285,0.0082534313959872,0.0082534117209747
0.29,0.0083982704139864,0.0083982503947992
0.295,0.0085431108794738,0.00854309051458
0.3,0.0086879527910662,0.0086879320828322
0.305,0.0088327961497475,0.0088327750969611
0.31,0.0089776409558612,0.0089776195587883
0.315,0.0091224872068397,0.0091224654660344
0.32,0.009267334906324,0.009267312821238
0.325,0.0094121840516416,0.0094121616236817
0.33,0.0095570346447643,0.0095570118717714
0.335,0.0097018866850837,0.0097018635678521
0.34,0.0098467401713154,0.0098467167089848
0.345,0.0099915951029231,0.0099915712988668
0.35,0.010136451482411,0.010136427333934
0.355,0.010281309308737,0.010281284815977
0.36,0.010426168580979,0.010426143744136
0.365,0.010571029300945,0.01057100411982
0.37,0.010715891466739,0.010715865942099
0.375,0.010860755078642,0.010860729210367
0.38,0.011005620137448,0.011005593925604
0.385,0.011150486642793,0.011150460087017
0.39,0.011295354593828,0.011295327695349
0.395,0.011440223992245,0.011440196749935
0.4,0.011585094836056,0.011585067250772
0.405,0.011729967127034,0.011729939197204
0.41,0.011874840863497,0.011874812590908
0.415,0.012019716047583,0.012019687431037
0.42,0.012164592676872,0.012164563716541
0.425,0.012309470753683,0.012309441450079
0.43,0.012454350275743,0.012454320628545
0.435,0.012599231243812,0.012599201253636
0.44,0.012744113658143,0.012744083325392
0.445,0.012888997518552,0.012888966842481
0.45,0.013033882825933,0.013033851805462
0.455,0.013178769578281,0.013178738216391
0.46,0.013323657777686,0.013323626072242
0.465,0.013468547423147,0.013468515372997
0.47,0.01361343851395,0.013613406120968
0.475,0.013758331051727,0.013758298315059
0.48,0.013903225034401,0.013903191955599
0.485,0.014048120464126,0.01404808704179
0.49,0.014193017338876,0.014192983573384
0.495,0.014337915660139,0.014337881551047
0.5,0.014482815426834,0.014482780974991
0.505,0.014627716638499,0.014627681844791
0.51,0.014772619296941,0.014772584160801
0.515,0.014917523401546,0.014917487922128
0.52,0.015062428951793,0.015062393128862
0.525,0.01520733594751,0.015207299782374
0.53,0.015352244389416,0.015352207880239
0.535,0.015497154275607,0.015497117424875
0.54,0.015367566147932,0.015366647749961
0.545,0.013049426736519,0.013222128278924
0.55,0.0091488382918939,0.00928699221742
0.555,0.0079603966835648,0.0080598765916217
0.56,0.0079060127107482,0.0078874607386621
0.565,0.0079633676775813,0.007910631341656
0.57,0.008033770472111,0.0079805662333073
0.575,0.0081041720447755,0.0080504998832158
0.58,0.0081698770864281,0.0081065687471817
0.585,0.0082402356760854,0.0081763803298249
0.59,0.0083105930431846,0.008246190667883
0.595,0.0083736888470125,0.0082966210771664
0.6,0.0084439826882447,0.0083662660305766
0.605,0.0085009798217477,0.0084307037436822
0.61,0.0085711612861938,0.0085003031251386
0.615,0.008641341525677,0.008569901261802
0.62,0.0087115205406166,0.0086394981519141
0.625,0.0087816983292016,0.0087090937951868
0.63,0.0088518748930144,0.0087786881934645
0.635,0.0089164711857113,0.0088395150515868
0.64,0.0089866014346976,0.0089090381455873
0.645,0.0090567304596206,0.0089785599962967
0.65,0.0091268582591951,0.0090480806037293
